date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:24	123/123	---MCZ	200	added ('OK')	text/plain	date:Mon,%2023%20Mar%202026%2007:21:50%20GMT	https://designmattersmedia.com/robots.txt		(from )
09:19:25	237047/237047	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Mar%202026%2018:33:15%20GMT	https://designmattersmedia.com/	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/index.html	(from )
09:19:26	2360/2360	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Mar%202026%2008:19:25%20GMT	https://designmattersmedia.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesignmattersmedia.com%2F	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-json/oembed/1.0/embed9820.json	(from https://designmattersmedia.com/)
09:19:27	2552/2552	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Mar%202026%2008:19:26%20GMT	https://designmattersmedia.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesignmattersmedia.com%2F&format=xml	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-json/oembed/1.0/embedf3b6	(from https://designmattersmedia.com/)
09:19:28	20373/20373	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba8cfa-4f95%22	https://designmattersmedia.com/wp-content/plugins/gutenberg/build/styles/block-library/navigation/style.min.css?ver=22.7.1	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/gutenberg/build/styles/block-library/navigation/style.mine765.css	(from https://designmattersmedia.com/)
09:19:28	2108/2108	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b84e340cf60128852701d4f61203a1d8%22	https://designmattersmedia.com/feed/	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/feed/index.html	(from https://designmattersmedia.com/)
09:19:28	1609/1609	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b84e340cf60128852701d4f61203a1d8%22	https://designmattersmedia.com/comments/feed/	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/comments/feed/index.html	(from https://designmattersmedia.com/)
09:19:29	20262/20262	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba8cfa-4f26%22	https://designmattersmedia.com/wp-content/plugins/gutenberg/build/styles/block-library/cover/style.min.css?ver=22.7.1	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/gutenberg/build/styles/block-library/cover/style.mine765.css	(from https://designmattersmedia.com/)
09:19:30	36605/36605	---MCZ	200	added ('OK')	text/css	etag:W/%2269945858-8efd%22	https://designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-search/build/instant-search/jp-search.chunk-main-payload.css?minify=false&ver=904682e550fefbe1827b	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-search/build/instant-search/jp-search.chunk-main-payloada46b.css	(from https://designmattersmedia.com/)
09:19:31	20875/20875	---MCZ	200	added ('OK')	text/css	etag:W/%22679bf52c-518b%22	https://designmattersmedia.com/wp-content/themes/design-matters/style.css?ver=1738274092	/Users/alfonso/websites/https://designmattersmedia.com/designmattersmedia.com/wp-content/themes/design-matters/style446d.css	(from https://designmattersmedia.com/)
